group_id,n_shuseki,interim_group_type,shuseki_component_type,mean_neighbor_count,context_group_n,context_shuseki_n,dense_n_score,dense_neighbor_score,dense_source_strength,dense_source_seed_value,dispersed_context_group_score,dispersed_context_shuseki_score,dispersed_source_strength,dispersed_source_seed_value
N18,1,small_or_isolated_candidate,dispersed,1,3,22,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.375,0.6875,0.5,0.5
N20,1,small_or_isolated_candidate,dispersed,1,6,6,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.75,0.1875,0.5249999999999999,0.5249999999999999
N21,1,small_or_isolated_candidate,dispersed,1,8,8,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,1,0.25,0.55,0.55
N212,1,small_or_isolated_candidate,dispersed,0,4,4,0.16104477175644444,0,0.1127313402295111,0,0.5,0.125,0.35,0.35
N22,1,small_or_isolated_candidate,dispersed,0,2,6,0.16104477175644444,0,0.1127313402295111,0,0.25,0.1875,0.225,0.225
N259,1,small_or_isolated_candidate,dispersed,0,4,4,0.16104477175644444,0,0.1127313402295111,0,0.5,0.125,0.35,0.35
N292,1,small_or_isolated_candidate,dispersed,0,4,4,0.16104477175644444,0,0.1127313402295111,0,0.5,0.125,0.35,0.35
N294,1,small_or_isolated_candidate,dispersed,0,5,9,0.16104477175644444,0,0.1127313402295111,0,0.625,0.28125,0.4875,0.4875
N30,1,small_or_isolated_candidate,dispersed,0,5,24,0.16104477175644444,0,0.1127313402295111,0,0.625,0.75,0.55,0.55
N300,1,small_or_isolated_candidate,dispersed,1,3,6,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.375,0.1875,0.3,0.3
N304,1,small_or_isolated_candidate,dispersed,2,4,13,0.16104477175644444,0.14678899082568808,0.15676803747721751,0,0.5,0.40625,0.4625,0.4625
N305,1,small_or_isolated_candidate,dispersed,1,3,9,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.375,0.28125,0.33749999999999997,0.33749999999999997
N308,1,small_or_isolated_candidate,dispersed,1,4,8,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.5,0.25,0.4,0.4
N48,1,small_or_isolated_candidate,dispersed,0,1,15,0.16104477175644444,0,0.1127313402295111,0,0.125,0.46875,0.2625,0.2625
N49,1,small_or_isolated_candidate,dispersed,1,6,6,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.75,0.1875,0.5249999999999999,0.5249999999999999
N50,1,small_or_isolated_candidate,dispersed,1,7,7,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.875,0.21875,0.55,0.55
N51,1,small_or_isolated_candidate,dispersed,1,5,5,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.625,0.15625,0.4375,0.4375
N52,1,small_or_isolated_candidate,dispersed,1,5,5,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.625,0.15625,0.4375,0.4375
N61,1,small_or_isolated_candidate,dispersed,1,8,8,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,1,0.25,0.55,0.55
N62,1,small_or_isolated_candidate,dispersed,2,4,4,0.16104477175644444,0.14678899082568808,0.15676803747721751,0,0.5,0.125,0.35,0.35
N63,1,small_or_isolated_candidate,dispersed,2,4,4,0.16104477175644444,0.14678899082568808,0.15676803747721751,0,0.5,0.125,0.35,0.35
N65,1,small_or_isolated_candidate,dispersed,1,7,7,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.875,0.21875,0.55,0.55
N66,1,small_or_isolated_candidate,dispersed,2,4,4,0.16104477175644444,0.14678899082568808,0.15676803747721751,0,0.5,0.125,0.35,0.35
N92,1,small_or_isolated_candidate,dispersed,2,4,7,0.16104477175644444,0.14678899082568808,0.15676803747721751,0,0.5,0.21875,0.3875,0.3875
N93,1,small_or_isolated_candidate,dispersed,0,4,8,0.16104477175644444,0,0.1127313402295111,0,0.5,0.25,0.4,0.4
N94,1,small_or_isolated_candidate,dispersed,2,5,12,0.16104477175644444,0.14678899082568808,0.15676803747721751,0,0.625,0.375,0.525,0.525
N95,1,small_or_isolated_candidate,dispersed,2,5,12,0.16104477175644444,0.14678899082568808,0.15676803747721751,0,0.625,0.375,0.525,0.525
N96,1,small_or_isolated_candidate,dispersed,1,4,13,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.5,0.40625,0.4625,0.4625
N111,1,small_or_isolated_candidate,isolated,1,2,2,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.25,0.0625,0.175,0
N112,1,small_or_isolated_candidate,isolated,1,2,2,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.25,0.0625,0.175,0
N113,1,small_or_isolated_candidate,isolated,0,1,1,0.16104477175644444,0,0.1127313402295111,0,0.125,0.03125,0.0875,0
N114,1,small_or_isolated_candidate,isolated,0,1,1,0.16104477175644444,0,0.1127313402295111,0,0.125,0.03125,0.0875,0
N119,1,small_or_isolated_candidate,isolated,0,2,2,0.16104477175644444,0,0.1127313402295111,0,0.25,0.0625,0.175,0
N120,1,small_or_isolated_candidate,isolated,0,2,2,0.16104477175644444,0,0.1127313402295111,0,0.25,0.0625,0.175,0
N127,1,small_or_isolated_candidate,isolated,1,1,1,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.125,0.03125,0.0875,0
N128,1,small_or_isolated_candidate,isolated,1,1,1,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.125,0.03125,0.0875,0
N131,1,small_or_isolated_candidate,isolated,0,1,1,0.16104477175644444,0,0.1127313402295111,0,0.125,0.03125,0.0875,0
N132,1,small_or_isolated_candidate,isolated,0,0,0,0.16104477175644444,0,0.1127313402295111,0,0,0,0,0
N135,1,small_or_isolated_candidate,isolated,0,0,0,0.16104477175644444,0,0.1127313402295111,0,0,0,0,0
N137,1,small_or_isolated_candidate,isolated,0,0,0,0.16104477175644444,0,0.1127313402295111,0,0,0,0,0
N138,1,small_or_isolated_candidate,isolated,0,1,1,0.16104477175644444,0,0.1127313402295111,0,0.125,0.03125,0.0875,0
N140,1,small_or_isolated_candidate,isolated,1,2,2,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.25,0.0625,0.175,0
N141,1,small_or_isolated_candidate,isolated,1,2,2,0.16104477175644444,0.07339449541284404,0.1347496888533643,0,0.25,0.0625,0.175,0
