edge_id,from_node_id,to_node_id,from_grid_id,to_grid_id,distance_m,azimuth_deg,orientation_deg,direction_bin,interval_fit,from_shuseki_count,to_shuseki_count
E428,G91203,G104195,91203,104195,44.721359549995796,296.565051177078,116.56505117707798,112.5,0.41114561800016813,2,1
E429,G91209,G92207,91209,92207,31.622776601683793,198.43494882292202,18.434948822922024,0,0.9350889359326483,1,1
E430,G91209,G92225,91209,92225,30,180,0,0,1,1,1
E431,G91209,G92226,91209,92226,20,180,0,0,0.6,1,1
E432,G91209,G92544,91209,92544,22.360679774997898,206.56505117707798,26.565051177077976,22.5,0.6944271909999159,1,1
E433,G91209,G92565,91209,92565,31.622776601683793,198.43494882292202,18.434948822922024,0,0.9350889359326483,1,1
E434,G91209,G105799,91209,105799,41.23105625617661,255.9637565320735,75.96375653207349,67.5,0.5507577497529357,1,1
E435,G91209,G105834,91209,105834,40,270,90,90,0.6,1,1
E436,G91213,G92207,91213,92207,36.05551275463989,213.69006752597977,33.69006752597977,22.5,0.75777948981440435,1,1
E437,G91213,G92225,91213,92225,31.622776601683793,198.43494882292202,18.434948822922024,0,0.9350889359326483,1,1
E438,G91213,G92226,91213,92226,22.360679774997898,206.56505117707798,26.565051177077976,22.5,0.6944271909999159,1,1
E439,G91213,G92544,91213,92544,28.284271247461902,225,45,45,0.9313708498984761,1,1
E440,G91213,G92565,91213,92565,36.05551275463989,213.69006752597977,33.69006752597977,22.5,0.75777948981440435,1,1
E441,G91348,G92207,91348,92207,44.721359549995796,206.56505117707798,26.565051177077976,22.5,0.41114561800016813,1,1
E442,G91348,G92225,91348,92225,41.23105625617661,194.03624346792648,14.036243467926482,0,0.5507577497529357,1,1
E443,G91348,G92226,91348,92226,31.622776601683793,198.43494882292202,18.434948822922024,0,0.9350889359326483,1,1
E444,G91348,G92544,91348,92544,36.05551275463989,213.69006752597977,33.69006752597977,22.5,0.75777948981440435,1,1
E445,G91348,G92565,91348,92565,44.721359549995796,206.56505117707798,26.565051177077976,22.5,0.41114561800016813,1,1
E446,G91356,G92207,91356,92207,41.23105625617661,194.03624346792648,14.036243467926482,0,0.5507577497529357,1,1
E447,G91356,G92225,91356,92225,40,180,0,0,0.6,1,1
E448,G91356,G92226,91356,92226,30,180,0,0,1,1,1
E449,G91356,G92544,91356,92544,31.622776601683793,198.43494882292202,18.434948822922024,0,0.9350889359326483,1,1
E450,G91356,G92565,91356,92565,41.23105625617661,194.03624346792648,14.036243467926482,0,0.5507577497529357,1,1
E451,G91356,G102238,91356,102238,42.42640687119285,315,135,135,0.5029437251522859,1,1
E452,G91356,G105799,91356,105799,44.721359549995796,243.43494882292202,63.434948822922024,45,0.41114561800016813,1,1
E453,G91356,G105834,91356,105834,41.23105625617661,255.9637565320735,75.96375653207349,67.5,0.5507577497529357,1,1
E454,G91503,G92207,91503,92207,31.622776601683793,198.43494882292202,18.434948822922024,0,0.9350889359326483,1,1
E455,G91503,G92225,91503,92225,30,180,0,0,1,1,1
E456,G91503,G92226,91503,92226,20,180,0,0,0.6,1,1
E457,G91503,G92544,91503,92544,22.360679774997898,206.56505117707798,26.565051177077976,22.5,0.6944271909999159,1,1
E458,G91503,G92565,91503,92565,31.622776601683793,198.43494882292202,18.434948822922024,0,0.9350889359326483,1,1
E459,G91503,G105799,91503,105799,41.23105625617661,255.9637565320735,75.96375653207349,67.5,0.5507577497529357,1,1
E460,G91503,G105834,91503,105834,40,270,90,90,0.6,1,1
E461,G91504,G92175,91504,92175,22.360679774997898,26.56505117707799,26.56505117707799,22.5,0.6944271909999159,1,1
E462,G91504,G92178,91504,92178,20,0,0,0,0.6,1,2
E463,G91504,G94193,91504,94193,20,0,0,0,0.6,1,1
E464,G91504,G95127,91504,95127,22.360679774997898,333.434948822922,153.43494882292202,135,0.6944271909999159,1,1
E465,G91504,G95198,91504,95198,20,270,90,90,0.6,1,1
E466,G91504,G95493,91504,95493,22.360679774997898,296.565051177078,116.56505117707798,112.5,0.6944271909999159,1,1
E467,G91504,G95494,91504,95494,20,270,90,90,0.6,1,1
E468,G91504,G97666,91504,97666,36.05551275463989,326.30993247402023,146.30993247402023,135,0.75777948981440435,1,2
E469,G91504,G98057,91504,98057,31.622776601683793,341.565051177078,161.56505117707798,157.5,0.9350889359326483,1,1
E470,G91504,G98729,91504,98729,41.23105625617661,345.96375653207355,165.96375653207355,157.5,0.5507577497529357,1,1
E471,G91504,G98919,91504,98919,44.721359549995796,333.434948822922,153.43494882292202,135,0.41114561800016813,1,1
E472,G91504,G99269,91504,99269,36.05551275463989,326.30993247402023,146.30993247402023,135,0.75777948981440435,1,1
E473,G91504,G103388,91504,103388,42.42640687119285,225,45,45,0.5029437251522859,1,1
E474,G91504,G103389,91504,103389,36.05551275463989,236.30993247402023,56.30993247402023,45,0.75777948981440435,1,1
E475,G91504,G103411,91504,103411,44.721359549995796,243.43494882292202,63.434948822922024,45,0.41114561800016813,1,1
