eps_m,min_pts,n_points,n_clusters,noise_count,clustered_count,noise_ratio,clustered_ratio,n_dense_clusters,n_intermediate_clusters,n_small_clusters,max_cluster_size,median_cluster_size,core_point_count,core_point_ratio,score_clustered_ratio,score_noise_ratio,score_dense_presence,score_not_overmerged,parameter_score,interpretation
70,5,312,10,61,251,0.1955128205128205,0.8044871794871795,5,5,0,109,8.5,0,0,0.8955128205128204,0.8955128205128206,1,1,0.9425320512820513,候補として検討可能
50,3,312,20,60,252,0.19230769230769232,0.8076923076923077,6,8,6,88,4.5,0,0,0.8923076923076922,0.8923076923076924,1,1,0.9407692307692307,候補として検討可能
52,3,312,19,53,259,0.16987179487179488,0.8301282051282052,4,9,6,105,4,0,0,0.8698717948717948,0.8698717948717949,1,1,0.9284294871794871,候補として検討可能
25,4,312,16,137,175,0.4391025641025641,0.5608974358974359,5,10,1,58,5,0,0,0.860897435897436,0.860897435897436,1,1,0.9234935897435897,候補として検討可能
20,3,312,22,140,172,0.44871794871794873,0.5512820512820513,6,9,7,43,5,0,0,0.8512820512820514,0.8512820512820513,1,1,0.9182051282051281,候補として検討可能
35,5,312,10,140,172,0.44871794871794873,0.5512820512820513,6,4,0,66,12,0,0,0.8512820512820514,0.8512820512820513,1,1,0.9182051282051281,候補として検討可能
24,4,312,15,141,171,0.4519230769230769,0.5480769230769231,5,9,1,58,5,0,0,0.8480769230769232,0.8480769230769231,1,1,0.9164423076923077,候補として検討可能
60,3,312,20,41,271,0.13141025641025642,0.8685897435897436,5,10,5,106,4,0,0,0.8314102564102563,0.8314102564102565,1,1,0.907275641025641,候補として検討可能
17,3,312,22,147,165,0.47115384615384615,0.5288461538461539,6,9,7,36,5,0,0,0.8288461538461539,0.8288461538461538,1,1,0.9058653846153847,候補として検討可能
70,4,312,14,39,273,0.125,0.875,5,9,0,109,7,0,0,0.825,0.825,1,1,0.9037499999999999,候補として検討可能
30,5,312,10,155,157,0.4967948717948718,0.5032051282051282,7,3,0,49,11.5,0,0,0.8032051282051282,0.8032051282051282,1,1,0.8917628205128205,候補として検討可能
70,3,312,15,29,283,0.09294871794871795,0.907051282051282,7,6,2,109,7,0,0,0.7929487179487179,0.792948717948718,1,1,0.8861217948717949,候補として検討可能
25,5,312,11,164,148,0.5256410256410257,0.47435897435897434,5,6,0,47,7,0,0,0.7743589743589744,0.7743589743589743,1,1,0.875897435897436,候補として検討可能
15,3,312,24,165,147,0.5288461538461539,0.47115384615384615,7,10,7,15,5,0,0,0.7711538461538462,0.7711538461538461,1,1,0.8741346153846153,候補として検討可能
20,4,312,15,166,146,0.532051282051282,0.46794871794871795,6,9,0,36,7,0,0,0.767948717948718,0.7679487179487179,1,1,0.872371794871795,候補として検討可能
24,5,312,11,166,146,0.532051282051282,0.46794871794871795,5,6,0,47,7,0,0,0.767948717948718,0.7679487179487179,1,1,0.872371794871795,候補として検討可能
17,4,312,15,171,141,0.5480769230769231,0.4519230769230769,6,9,0,36,6,0,0,0.7519230769230769,0.7519230769230769,1,1,0.8635576923076923,候補として検討可能
20,5,312,12,186,126,0.5961538461538461,0.40384615384615385,6,6,0,32,7.5,0,0,0.7038461538461539,0.7038461538461538,1,1,0.8371153846153846,候補として検討可能
15,4,312,17,189,123,0.6057692307692307,0.3942307692307692,7,10,0,15,5,0,0,0.6942307692307692,0.6942307692307692,1,1,0.8318269230769231,ノイズが多すぎ、密集範囲を分断しすぎる可能性
17,5,312,13,192,120,0.6153846153846154,0.38461538461538464,6,7,0,30,6,0,0,0.6846153846153846,0.6846153846153846,1,1,0.8265384615384616,ノイズが多すぎ、密集範囲を分断しすぎる可能性
8,3,312,23,208,104,0.6666666666666666,0.3333333333333333,2,11,10,9,4,0,0,0.6333333333333333,0.6333333333333333,1,1,0.7983333333333332,ノイズが多すぎ、密集範囲を分断しすぎる可能性
15,5,312,13,215,97,0.6891025641025641,0.3108974358974359,6,7,0,14,5,0,0,0.610897435897436,0.610897435897436,1,1,0.7859935897435898,ノイズが多すぎ、密集範囲を分断しすぎる可能性
8,4,312,10,251,61,0.8044871794871795,0.1955128205128205,2,8,0,9,5.5,0,0,0.49551282051282053,0.49551282051282053,1,1,0.7225320512820513,ノイズが多すぎ、密集範囲を分断しすぎる可能性
8,5,312,9,258,54,0.8269230769230769,0.17307692307692307,1,8,0,8,6,0,0,0.4730769230769232,0.4730769230769232,1,1,0.7101923076923077,ノイズが多すぎ、密集範囲を分断しすぎる可能性
