node_id,grid_id,shuseki_count,dispersed_node_degree,mean_edge_distance_m,dominant_direction_bin,dominant_direction_share,dispersed_node_support,dispersed_node_flag,dense_node_flag
G91153,91153,1,31,37.806386581444045,22.5,0.3548387096774194,0.6360390067839213,1,0
G113124,113124,1,9,30.51390027810267,22.5,0.3333333333333333,0.6357944858710826,1,0
G95127,95127,1,37,29.887312994975236,135,0.2702702702702703,0.6328702712003468,1,0
G103663,103663,1,41,34.97505093297242,0,0.2926829268292683,0.629351833333119,1,0
G103941,103941,1,41,34.97505093297242,0,0.2926829268292683,0.629351833333119,1,0
G81772,81772,1,8,32.88417803281096,22.5,0.375,0.6284232370937598,1,0
G72181,72181,2,4,23.8415776431139,112.5,0.5,0.626831552862278,0,1
G99531,99531,1,39,33.453805632409725,135,0.20512820512820512,0.6257346400336896,1,0
G93531,93531,1,31,33.86411299710696,45,0.2903225806451613,0.6250345566286702,1,0
G94168,94168,1,31,33.86411299710696,45,0.2903225806451613,0.6250345566286702,1,0
G95140,95140,1,31,33.86411299710696,45,0.2903225806451613,0.6250345566286702,1,0
G95463,95463,1,31,33.86411299710696,45,0.2903225806451613,0.6250345566286702,1,0
G93243,93243,1,30,34.2141692465884,45,0.26666666666666666,0.6237316305281193,1,0
G93568,93568,1,30,34.2141692465884,45,0.26666666666666666,0.6237316305281193,1,0
G95448,95448,1,30,34.2141692465884,45,0.26666666666666666,0.6237316305281193,1,0
G91529,91529,1,23,28.477898441852474,90,0.21739130434782608,0.6218988487672139,1,0
G91874,91874,1,23,28.477898441852474,90,0.21739130434782608,0.6218988487672139,1,0
G95493,95493,1,44,31.12578094250029,45,0.22727272727272727,0.6217918829157841,1,0
G91654,91654,1,23,33.86913165606001,135,0.30434782608695654,0.6211499105611913,1,0
G91871,91871,1,23,33.86913165606001,135,0.30434782608695654,0.6211499105611913,1,0
G92206,92206,1,23,33.86913165606001,135,0.30434782608695654,0.6211499105611913,1,0
G93526,93526,1,23,33.86913165606001,135,0.30434782608695654,0.6211499105611913,1,0
G94181,94181,1,23,33.86913165606001,135,0.30434782608695654,0.6211499105611913,1,0
G108297,108297,1,23,36.57915972449647,67.5,0.21739130434782608,0.6173645464186963,1,0
G94193,94193,1,29,29.946194086097375,135,0.2413793103448276,0.6172745772295374,1,0
G103636,103636,1,11,33.67779471132125,22.5,0.2727272727272727,0.6163399586826506,1,0
G83485,83485,3,10,34.73304423174046,0,0.7,0.6153391153651908,0,1
G92207,92207,1,9,39.24201338777824,0,0.3333333333333333,0.6151597322444351,1,0
G92565,92565,1,9,39.24201338777824,0,0.3333333333333333,0.6151597322444351,1,0
G77016,77016,2,1,44.721359549995796,45,1,0.605572809000084,0,1
G88433,88433,2,1,44.721359549995796,135,1,0.605572809000084,0,1
G103385,103385,4,5,26.79669127533634,0,0.6,0.6029516126932564,0,1
G102238,102238,1,11,34.35693072771576,0,0.2727272727272727,0.6027572383547604,1,0
G97666,97666,2,48,30.509646814712635,135,0.3958333333333333,0.5995870776284259,0,1
G102277,102277,1,3,28.262362215396916,0,0.3333333333333333,0.5995618193587002,1,0
G104687,104687,1,4,21.18033988749895,0,0.25,0.5986067977499789,1,0
G107488,107488,1,17,36.73114444478383,45,0.29411764705882354,0.595650783039513,1,0
G110940,110940,1,17,36.73114444478383,45,0.29411764705882354,0.595650783039513,1,0
G91504,91504,1,23,33.429673100413375,0,0.21739130434782608,0.5872013889917216,1,0
G91841,91841,1,23,33.429673100413375,0,0.21739130434782608,0.5872013889917216,1,0
G88799,88799,3,3,24.33521026581923,45,0.6666666666666666,0.5867042053163847,0,1
G87448,87448,2,7,32.17350180469404,0,0.42857142857142855,0.5843052769061071,0,1
G103105,103105,2,13,33.29915615409066,0,0.46153846153846156,0.5821551877565248,0,1
G90520,90520,2,2,21.18033988749895,45,0.5,0.5736067977499789,0,1
G104688,104688,2,2,21.18033988749895,0,0.5,0.5736067977499789,0,1
G105611,105611,2,2,21.18033988749895,90,0.5,0.5736067977499789,0,1
G88134,88134,4,5,24.79669127533634,90,0.6,0.5629516126932563,0,1
G75050,75050,1,4,32.078273895292575,0,0.25,0.5570413198441275,1,0
G75534,75534,1,4,32.078273895292575,0,0.25,0.5570413198441275,1,0
G76972,76972,1,4,32.078273895292575,0,0.25,0.5570413198441275,1,0
G91203,91203,2,35,30.85878419346458,22.5,0.22857142857142856,0.5461913043161882,0,1
G88455,88455,3,9,26.32179278036501,45,0.4444444444444444,0.5453445080367776,0,1
G107904,107904,2,35,34.18861087092166,67.5,0.2571428571428571,0.5416236220672762,0,1
G103903,103903,2,47,33.66341741521117,135,0.2765957446808511,0.539877281195602,0,1
G88798,88798,2,5,20.94427190999916,90,0.4,0.5388854381999831,0,1
G103937,103937,2,29,33.93709366857001,0,0.27586206896551724,0.5213790509354294,0,1
G92178,92178,2,29,29.946194086097375,135,0.2413793103448276,0.5172745772295374,0,1
G103387,103387,2,11,33.67779471132125,22.5,0.2727272727272727,0.5163399586826506,0,1
G104930,104930,2,4,21.18033988749895,0,0.25,0.49860679774997896,0,1
G93244,93244,2,23,33.429673100413375,0,0.21739130434782608,0.4872013889917216,0,1
