group_id_1,group_id_2,n_shuseki_1,n_shuseki_2,interim_group_type_1,interim_group_type_2,centroid_distance_m,both_linkable_size,at_least_one_dense,centroid_preselect,pair_size_score_pre,evaluate_pair,evaluate_order,detailed_evaluation_selected,pair_generation_method
C1,N65,20,1,dense_candidate,small_or_isolated_candidate,265.30083487926214,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N48,73,1,dense_candidate,small_or_isolated_candidate,271.2281601066833,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N307,73,1,dense_candidate,small_or_isolated_candidate,274.9077773055384,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N110,15,1,dense_candidate,small_or_isolated_candidate,275.04713370519863,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N142,73,1,dense_candidate,small_or_isolated_candidate,279.31599554249374,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N61,20,1,dense_candidate,small_or_isolated_candidate,281.60159478104134,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N142,32,1,dense_candidate,small_or_isolated_candidate,282.8662976335052,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N133,32,1,dense_candidate,small_or_isolated_candidate,284.47246880698356,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N136,32,1,dense_candidate,small_or_isolated_candidate,286.67161819958085,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N211,32,1,dense_candidate,small_or_isolated_candidate,288.89451900094906,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N11,15,1,dense_candidate,small_or_isolated_candidate,298.24384374470463,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N149,73,1,dense_candidate,small_or_isolated_candidate,298.3202599040404,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C6,N95,16,1,dense_candidate,small_or_isolated_candidate,304.37499149560216,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N292,73,1,dense_candidate,small_or_isolated_candidate,307.1297726411475,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C6,N92,16,1,dense_candidate,small_or_isolated_candidate,307.39805134144865,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N11,73,1,dense_candidate,small_or_isolated_candidate,310.1697171521809,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N157,32,1,dense_candidate,small_or_isolated_candidate,314.3397412240587,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N141,15,1,dense_candidate,small_or_isolated_candidate,316.133752689181,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C6,N94,16,1,dense_candidate,small_or_isolated_candidate,317.94954917850157,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N140,15,1,dense_candidate,small_or_isolated_candidate,319.4504136383408,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N62,20,1,dense_candidate,small_or_isolated_candidate,331.70025682077824,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N292,15,1,dense_candidate,small_or_isolated_candidate,331.7413883707675,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N66,20,1,dense_candidate,small_or_isolated_candidate,332.6089289182939,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N63,20,1,dense_candidate,small_or_isolated_candidate,333.5925786809877,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C15,C2,5,15,intermediate_candidate,dense_candidate,334.66537673107325,TRUE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N144,73,1,dense_candidate,small_or_isolated_candidate,334.9612757679297,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N152,32,1,dense_candidate,small_or_isolated_candidate,338.2201031417196,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N153,32,1,dense_candidate,small_or_isolated_candidate,341.92400766776774,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N150,32,1,dense_candidate,small_or_isolated_candidate,342.42378738055504,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N143,73,1,dense_candidate,small_or_isolated_candidate,342.91128377516566,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N112,15,1,dense_candidate,small_or_isolated_candidate,344.28521570609024,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N294,15,1,dense_candidate,small_or_isolated_candidate,344.5451738362858,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,C6,15,16,dense_candidate,dense_candidate,345.5600109587832,TRUE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N111,15,1,dense_candidate,small_or_isolated_candidate,345.975072071173,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N121,32,1,dense_candidate,small_or_isolated_candidate,347.9124797768659,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N122,32,1,dense_candidate,small_or_isolated_candidate,348.17658586769977,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N123,32,1,dense_candidate,small_or_isolated_candidate,350.3649362402629,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C1,C2,20,15,dense_candidate,dense_candidate,351.0015798345629,TRUE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N51,15,1,dense_candidate,small_or_isolated_candidate,352.184647017137,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N147,73,1,dense_candidate,small_or_isolated_candidate,352.29415351820757,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C1,C10,20,73,dense_candidate,dense_candidate,352.81862752341686,TRUE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N52,15,1,dense_candidate,small_or_isolated_candidate,353.17418631438295,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N146,15,1,dense_candidate,small_or_isolated_candidate,354.17364653566256,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C1,C15,20,5,dense_candidate,intermediate_candidate,355.4977537901167,TRUE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C1,C11,20,9,dense_candidate,dense_candidate,356.17784356112725,TRUE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N138,15,1,dense_candidate,small_or_isolated_candidate,360.10509132823387,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C6,N123,16,1,dense_candidate,small_or_isolated_candidate,364.5504747830721,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C6,N122,16,1,dense_candidate,small_or_isolated_candidate,365.481234786842,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C6,N121,16,1,dense_candidate,small_or_isolated_candidate,367.5524187913062,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N149,15,1,dense_candidate,small_or_isolated_candidate,372.5047662239497,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N145,15,1,dense_candidate,small_or_isolated_candidate,375.7534691408023,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N259,32,1,dense_candidate,small_or_isolated_candidate,378.067013941214,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N144,15,1,dense_candidate,small_or_isolated_candidate,381.1280410429259,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C10,C14,73,7,dense_candidate,intermediate_candidate,387.29375544220176,TRUE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C1,C3,20,4,dense_candidate,intermediate_candidate,387.6392218241646,TRUE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N30,15,1,dense_candidate,small_or_isolated_candidate,392.20362910404566,FALSE,TRUE,FALSE,1,FALSE,NA,FALSE,all_pairs_combn
