macro_cluster_id,micro_group_ids,n_micro_groups,n_shuseki,n_dense_micro_groups,n_intermediate_micro_groups,n_small_micro_groups,macro_group_type,selected_eps_m,selected_min_pts,selected_d_adj_m,selected_d_adj_safe_m,macro_hull_buffer_m,macro_link_max_boundary_distance_m,macro_nearest_shuseki_link_m,macro_corridor_width_m
M72,N30,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M73,N300,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M74,N304,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M75,N305,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M76,N307,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M77,N308,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M78,N31,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M79,N32,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M8,C6;C7,2,23,1,1,0,macro_settlement_complex_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M80,N33,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M81,N34,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M82,N35,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M83,N36,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M84,N48,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M85,N49,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M86,N50,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M87,N51,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M88,N52,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M89,N61,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M9,C8,1,4,0,1,0,intermediate_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M90,N62,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M91,N63,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
