group_id,n_shuseki,interim_group_type,shuseki_component_type,occupied_cell_count,max_cell_shuseki_count,mean_cell_shuseki_count,shuseki_per_occupied_cell,group_dispersed_node_count,group_dispersed_node_support_max,dense_component_strength,dispersed_component_strength
N113,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.595650783039513,0.42916666666666664,0.595650783039513
N114,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6742945204041799,0.42916666666666664,0.6742945204041799
N117,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.5995618193587002,0.42916666666666664,0.5995618193587002
N118,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6821551877565247,0.42916666666666664,0.6821551877565247
N119,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6736067977499789,0.42916666666666664,0.6736067977499789
N120,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6611374833463208,0.42916666666666664,0.6611374833463208
N121,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6237316305281193,0.42916666666666664,0.6237316305281193
N124,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.7544499534888045,0.42916666666666664,0.7544499534888045
N125,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6579396526140355,0.42916666666666664,0.6579396526140355
N126,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6736067977499789,0.42916666666666664,0.6736067977499789
N127,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6328702712003468,0.42916666666666664,0.6328702712003468
N128,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6237316305281193,0.42916666666666664,0.6237316305281193
N129,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.704679342248191,0.42916666666666664,0.704679342248191
N131,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.7156118321005036,0.42916666666666664,0.7156118321005036
N132,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6360390067839213,0.42916666666666664,0.6360390067839213
N133,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6667263517709716,0.42916666666666664,0.6667263517709716
N134,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.8564605062865212,0.42916666666666664,0.8564605062865212
N135,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6611374833463208,0.42916666666666664,0.6611374833463208
N136,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6784134952176477,0.42916666666666664,0.6784134952176477
N137,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6357944858710826,0.42916666666666664,0.6357944858710826
N138,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.683655388246796,0.42916666666666664,0.683655388246796
N140,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6217918829157841,0.42916666666666664,0.6217918829157841
N141,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6784134952176477,0.42916666666666664,0.6784134952176477
N142,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6388982236231102,0.42916666666666664,0.6388982236231102
N143,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6736067977499789,0.42916666666666664,0.6736067977499789
N144,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6792199724212957,0.42916666666666664,0.6792199724212957
N145,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6250345566286702,0.42916666666666664,0.6250345566286702
N146,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6995870776284259,0.42916666666666664,0.6995870776284259
N147,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6027572383547604,0.42916666666666664,0.6027572383547604
N148,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.639824825343901,0.42916666666666664,0.639824825343901
N149,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.645814555785021,0.42916666666666664,0.645814555785021
N150,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6237316305281193,0.42916666666666664,0.6237316305281193
N151,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6611374833463208,0.42916666666666664,0.6611374833463208
N157,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6163399586826506,0.42916666666666664,0.6163399586826506
N17,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6888404237383379,0.42916666666666664,0.6888404237383379
N18,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.8564605062865212,0.42916666666666664,0.8564605062865212
N182,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6866045474675535,0.42916666666666664,0.6866045474675535
N206,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6647841767367484,0.42916666666666664,0.6647841767367484
N207,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.595650783039513,0.42916666666666664,0.595650783039513
N211,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6386943840033934,0.42916666666666664,0.6386943840033934
N212,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6736067977499789,0.42916666666666664,0.6736067977499789
N24,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.7157378651666526,0.42916666666666664,0.7157378651666526
N259,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6151597322444351,0.42916666666666664,0.6151597322444351
N292,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.645814555785021,0.42916666666666664,0.645814555785021
N294,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6172745772295374,0.42916666666666664,0.6172745772295374
N30,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6736067977499789,0.42916666666666664,0.6736067977499789
N300,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6250345566286702,0.42916666666666664,0.6250345566286702
N304,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6250345566286702,0.42916666666666664,0.6250345566286702
N305,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6250345566286702,0.42916666666666664,0.6250345566286702
N307,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6211499105611913,0.42916666666666664,0.6211499105611913
N308,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6211499105611913,0.42916666666666664,0.6211499105611913
N31,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.7339505534572843,0.42916666666666664,0.7339505534572843
N32,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6211499105611913,0.42916666666666664,0.6211499105611913
N33,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.7676729722432523,0.42916666666666664,0.7676729722432523
N34,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.7421304892288962,0.42916666666666664,0.7421304892288962
N35,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.8564605062865212,0.42916666666666664,0.8564605062865212
N36,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.7231388084237484,0.42916666666666664,0.7231388084237484
N48,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.8413093657645361,0.42916666666666664,0.8413093657645361
N52,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6736067977499789,0.42916666666666664,0.6736067977499789
N62,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6736067977499789,0.42916666666666664,0.6736067977499789
N67,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.7314757303333053,0.42916666666666664,0.7314757303333053
N68,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6608729204969983,0.42916666666666664,0.6608729204969983
N69,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6567695187650293,0.42916666666666664,0.6567695187650293
N92,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.7157378651666526,0.42916666666666664,0.7157378651666526
N94,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.7314757303333053,0.42916666666666664,0.7314757303333053
N96,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.7157378651666526,0.42916666666666664,0.7157378651666526
N10,1,small_or_isolated_candidate,isolated,1,1,1,1,0,0.2,0.42916666666666664,0.2
N19,1,small_or_isolated_candidate,isolated,1,1,1,1,0,0.2,0.42916666666666664,0.2
N20,1,small_or_isolated_candidate,isolated,1,1,1,1,0,0.2,0.42916666666666664,0.2
N21,1,small_or_isolated_candidate,isolated,1,1,1,1,0,0.2,0.42916666666666664,0.2
N22,1,small_or_isolated_candidate,isolated,1,1,1,1,0,0.2,0.42916666666666664,0.2
N296,1,small_or_isolated_candidate,isolated,1,1,1,1,0,0.2,0.42916666666666664,0.2
N51,1,small_or_isolated_candidate,isolated,1,1,1,1,0,0.2,0.42916666666666664,0.2
N61,1,small_or_isolated_candidate,isolated,1,1,1,1,0,0.2,0.42916666666666664,0.2
N65,1,small_or_isolated_candidate,isolated,1,1,1,1,0,0.2,0.42916666666666664,0.2
N71,1,small_or_isolated_candidate,isolated,1,1,1,1,0,0.2,0.42916666666666664,0.2
N93,1,small_or_isolated_candidate,isolated,1,1,1,1,0,0.2,0.42916666666666664,0.2
N95,1,small_or_isolated_candidate,isolated,1,1,1,1,0,0.2,0.42916666666666664,0.2
