group_id,n_dwellings,dbscan_cluster_id,has_noise_point,n_core_points,mean_neighbor_count,group_geom_buffer_m,interim_group_type,selected_eps_m,selected_min_pts,selected_d_adj_m,macro_cluster_id
N86,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M116
N87,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M117
N88,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M118
N89,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M119
N126,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M12
N150,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M13
N154,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M14
N155,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M15
N156,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M16
N158,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M17
N173,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M18
N174,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M19
C10,7,10,FALSE,0,4.285714285714286,3.248337782022478,dense_candidate,14,4,9.745013346067434,M2
C11,7,11,FALSE,0,3,3.248337782022478,dense_candidate,14,4,9.745013346067434,M2
C12,5,12,FALSE,0,3,3.248337782022478,dense_candidate,14,4,9.745013346067434,M2
C13,5,13,FALSE,0,2.2,3.248337782022478,dense_candidate,14,4,9.745013346067434,M2
C14,4,14,FALSE,0,2,3.248337782022478,intermediate_candidate,14,4,9.745013346067434,M2
N179,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M20
N183,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M21
N184,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M22
N185,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M23
N186,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M24
N200,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M25
N206,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M26
N207,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M27
N21,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M28
N223,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M29
C15,9,15,FALSE,0,4.555555555555555,3.248337782022478,dense_candidate,14,4,9.745013346067434,M3
C16,7,16,FALSE,0,2.857142857142857,3.248337782022478,dense_candidate,14,4,9.745013346067434,M3
N224,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M30
N226,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M31
N230,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M32
N232,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M33
N239,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M34
N240,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M35
N241,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M36
N242,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M37
N243,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M38
N244,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M39
C17,5,17,FALSE,0,3,3.248337782022478,dense_candidate,14,4,9.745013346067434,M4
N245,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M40
N246,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M41
N247,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M42
N248,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M43
N249,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M44
N251,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M45
N252,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M46
N253,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M47
N254,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M48
N255,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M49
C2,17,2,FALSE,0,6.352941176470588,3.248337782022478,dense_candidate,14,4,9.745013346067434,M5
C7,10,7,FALSE,0,6.4,3.248337782022478,dense_candidate,14,4,9.745013346067434,M5
N257,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M50
N258,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M51
N261,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M52
N262,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M53
N267,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M54
N268,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M55
N269,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M56
N270,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M57
N282,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M58
N286,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M59
C8,14,8,FALSE,0,7.285714285714286,3.248337782022478,dense_candidate,14,4,9.745013346067434,M6
C9,5,9,FALSE,0,2.6,3.248337782022478,dense_candidate,14,4,9.745013346067434,M6
N288,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M60
N29,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M61
N293,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M62
N294,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M63
N295,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M64
N296,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M65
N297,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M66
N302,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M67
N303,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M68
N304,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M69
N100,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M7
N305,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M70
N313,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M71
N314,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M72
N315,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M73
N316,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M74
N317,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M75
N318,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M76
N319,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M77
N320,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M78
N321,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M79
N103,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M8
N322,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M80
N323,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M81
N324,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M82
N325,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M83
N331,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M84
N332,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M85
N333,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M86
N334,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M87
N335,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M88
N336,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M89
N119,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M9
N337,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M90
N338,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M91
N339,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M92
N340,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M93
N346,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M94
N347,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M95
N348,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M96
N349,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M97
N350,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M98
N351,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M99
